vehicle_id,brand,model,year,fuel_type,transmission,body_type,engine_capacity,scraped_at
Fiat_Ritmo_1981_Benzine_Manual_Hatchback_1300.0,Fiat,Ritmo,1981,Benzine,Manual,Hatchback,1300.0,2026-01-29 23:42:03
Mercedes-Benz_CLA 200_2026_Benzine_Automatic_Sedan_1330.0,Mercedes-Benz,CLA 200,2026,Benzine,Automatic,Sedan,1330.0,2026-01-29 23:42:25
Kia_Spectra_2005_Diesel_Manual_Sedan_nan,Kia,Spectra,2005,Diesel,Manual,Sedan,,2026-01-29 23:42:55
Volkswagen_Golf_1986_Benzine_Manual_Hatchback_1600.0,Volkswagen,Golf,1986,Benzine,Manual,Hatchback,1600.0,2026-01-29 23:43:02
Tesla_Model Y_2021_Electric_Automatic_SUV_nan,Tesla,Model Y,2021,Electric,Automatic,SUV,,2026-01-29 23:43:14
Fiat_Other_1993_Benzine_Manual_SUV_1600.0,Fiat,Other,1993,Benzine,Manual,SUV,1600.0,2026-01-29 23:43:21
Nissan_Qashqai_2018_Benzine_Automatic_Estate_nan,Nissan,Qashqai,2018,Benzine,Automatic,Estate,,2026-01-29 23:44:38
Kia_Cerato_2022_Benzine_Automatic_Sedan_1600.0,Kia,Cerato,2022,Benzine,Automatic,Sedan,1600.0,2026-01-29 23:44:48
Renault_Logan_2016_Diesel_Manual_Sedan_1600.0,Renault,Logan,2016,Diesel,Manual,Sedan,1600.0,2026-01-29 23:45:22
Subaru_XV_2021_Benzine_Automatic_SUV_nan,Subaru,XV,2021,Benzine,Automatic,SUV,,2026-01-29 23:45:41
Honda_City_2005_Benzine_Automatic_Sedan_1300.0,Honda,City,2005,Benzine,Automatic,Sedan,1300.0,2026-01-29 23:45:49
Renault_Symbol_2011_Benzine_Automatic_Sedan_nan,Renault,Symbol,2011,Benzine,Automatic,Sedan,,2026-01-29 23:46:18
Suzuki_Maruti_2014_Benzine_Manual_Hatchback_nan,Suzuki,Maruti,2014,Benzine,Manual,Hatchback,,2026-01-29 23:46:35
Speranza_A516_2009_Benzine_Automatic_Sedan_1600.0,Speranza,A516,2009,Benzine,Automatic,Sedan,1600.0,2026-01-29 23:46:50
Brilliance_FRV_2013_Benzine_Automatic_Hatchback_1500.0,Brilliance,FRV,2013,Benzine,Automatic,Hatchback,1500.0,2026-01-29 23:47:20
Speranza_A113_2008_Benzine_Manual_Hatchback_1200.0,Speranza,A113,2008,Benzine,Manual,Hatchback,1200.0,2026-01-29 23:47:27
Avatr_12_2025_Electric_Automatic_SUV_nan,Avatr,12,2025,Electric,Automatic,SUV,,2026-01-29 23:47:44
Mercedes-Benz_200_1983_Benzine_Manual_Sedan_2000.0,Mercedes-Benz,200,1983,Benzine,Manual,Sedan,2000.0,2026-01-29 23:47:55
Renault_Megane_2006_Benzine_Manual_Sedan_1600.0,Renault,Megane,2006,Benzine,Manual,Sedan,1600.0,2026-01-29 23:48:03
Suzuki_Maruti_2011_Benzine_Manual_Hatchback_800.0,Suzuki,Maruti,2011,Benzine,Manual,Hatchback,800.0,2026-01-29 23:48:51
Suzuki_Van_2011_Benzine_Manual_Van / Bus_nan,Suzuki,Van,2011,Benzine,Manual,Van / Bus,,2026-01-29 23:48:58
Kia_Rio_2015_Benzine_Automatic_Sedan_nan,Kia,Rio,2015,Benzine,Automatic,Sedan,,2026-01-29 23:49:26
Mitsubishi_Lancer_2015_Benzine_Automatic_Sedan_1500.0,Mitsubishi,Lancer,2015,Benzine,Automatic,Sedan,1500.0,2026-01-29 23:50:03
BMW_X1_2013_Benzine_Automatic_SUV_2000.0,BMW,X1,2013,Benzine,Automatic,SUV,2000.0,2026-01-29 23:50:10
Chevrolet_Aveo_2010_Benzine_Automatic_Sedan_1600.0,Chevrolet,Aveo,2010,Benzine,Automatic,Sedan,1600.0,2026-01-29 23:50:18
Mercedes-Benz_C280_2011_Benzine_Automatic_Sedan_3000.0,Mercedes-Benz,C280,2011,Benzine,Automatic,Sedan,3000.0,2026-01-29 23:50:28
Peugeot_405_1988_Benzine_Automatic_Sedan_1800.0,Peugeot,405,1988,Benzine,Automatic,Sedan,1800.0,2026-01-29 23:51:27
Suzuki_Maruti_2008_Diesel_Manual_Hatchback_nan,Suzuki,Maruti,2008,Diesel,Manual,Hatchback,,2026-01-29 23:51:43
Fiat_Palio_2006_Benzine_Manual_Hatchback_1000.0,Fiat,Palio,2006,Benzine,Manual,Hatchback,1000.0,2026-01-29 23:51:58
BMW_X1_2023_Benzine_Automatic_Hatchback_nan,BMW,X1,2023,Benzine,Automatic,Hatchback,,2026-01-29 23:52:11
Citroen_C4_2005_Benzine_Automatic_Sedan_1600.0,Citroen,C4,2005,Benzine,Automatic,Sedan,1600.0,2026-01-29 23:52:19
Ford_Fiesta_2006_Benzine_Automatic_Hatchback_1300.0,Ford,Fiesta,2006,Benzine,Automatic,Hatchback,1300.0,2026-01-29 23:53:10
Hyundai_Matrix_2005_Benzine_Automatic_Hatchback_1600.0,Hyundai,Matrix,2005,Benzine,Automatic,Hatchback,1600.0,2026-01-29 23:53:19
Mitsubishi_Xpander_2024_Benzine_Automatic_Van / Bus_nan,Mitsubishi,Xpander,2024,Benzine,Automatic,Van / Bus,,2026-01-29 23:53:51
Brilliance_Galena_2007_Benzine_Automatic_Sedan_2000.0,Brilliance,Galena,2007,Benzine,Automatic,Sedan,2000.0,2026-01-29 23:54:16
Daihatsu_Terios_2010_Benzine_Automatic_SUV_nan,Daihatsu,Terios,2010,Benzine,Automatic,SUV,,2026-01-29 23:54:24
Toyota_Yaris_2002_Benzine_Automatic_Hatchback_1500.0,Toyota,Yaris,2002,Benzine,Automatic,Hatchback,1500.0,2026-01-29 23:54:41
Skoda_Favorit_1994_Benzine_Manual_Hatchback_100.0,Skoda,Favorit,1994,Benzine,Manual,Hatchback,100.0,2026-01-29 23:55:26
Opel_Omega_1998_Benzine_Manual_Hatchback_2000.0,Opel,Omega,1998,Benzine,Manual,Hatchback,2000.0,2026-01-29 23:56:41
Peugeot_404_1994_Benzine_Manual_Sedan_nan,Peugeot,404,1994,Benzine,Manual,Sedan,,2026-01-29 23:56:48
Skoda_Kodiaq_2025_Benzine_Automatic_SUV_1400.0,Skoda,Kodiaq,2025,Benzine,Automatic,SUV,1400.0,2026-01-29 23:57:51
Fiat_127_1987_Benzine_Manual_Hatchback_900.0,Fiat,127,1987,Benzine,Manual,Hatchback,900.0,2026-01-29 23:57:59
BYD_F3_2015_Benzine_Automatic_Sedan_1500.0,BYD,F3,2015,Benzine,Automatic,Sedan,1500.0,2026-01-29 23:58:31
Forthing_T5 EVO_2026_Electric_Automatic_SUV_1500.0,Forthing,T5 EVO,2026,Electric,Automatic,SUV,1500.0,2026-01-29 23:58:38
BYD_L3_2017_Benzine_Manual_Sedan_1600.0,BYD,L3,2017,Benzine,Manual,Sedan,1600.0,2026-01-29 23:59:38
Speranza_A113_2009_Benzine_Manual_Hatchback_1300.0,Speranza,A113,2009,Benzine,Manual,Hatchback,1300.0,2026-01-29 23:59:46
Chevrolet_Lanos_2011_Benzine_Manual_Sedan_2200.0,Chevrolet,Lanos,2011,Benzine,Manual,Sedan,2200.0,2026-01-29 23:59:54
